GEO_ID,NAME,year,grade,projected_enrollment,value_status
0500000US25013,"Hampden County, Massachusetts",2027,9,6768.653916028438,Projected
0500000US25013,"Hampden County, Massachusetts",2027,10,7625.199626047412,Projected
0500000US25013,"Hampden County, Massachusetts",2027,11,9946.798466637973,Projected
0500000US25013,"Hampden County, Massachusetts",2027,12,7569.478888336854,Projected
0500000US25013,"Hampden County, Massachusetts",2028,9,7166.103827311072,Projected
0500000US25013,"Hampden County, Massachusetts",2028,10,6501.394706665355,Projected
0500000US25013,"Hampden County, Massachusetts",2028,11,8871.062576353335,Projected
0500000US25013,"Hampden County, Massachusetts",2028,12,10569.15975754666,Projected
0500000US25013,"Hampden County, Massachusetts",2029,9,7551.6912670123065,Projected
0500000US25013,"Hampden County, Massachusetts",2029,10,6883.15137223494,Projected
0500000US25013,"Hampden County, Massachusetts",2029,11,7563.641885438305,Projected
0500000US25013,"Hampden County, Massachusetts",2029,12,9426.116142108058,Projected
0500000US25015,"Hampshire County, Massachusetts",2025,9,891.2512983196591,Projected
0500000US25015,"Hampshire County, Massachusetts",2025,10,1045.28853366232,Projected
0500000US25015,"Hampshire County, Massachusetts",2025,11,1318.3002047480609,Projected
0500000US25015,"Hampshire County, Massachusetts",2025,12,2892.1408544652973,Projected
0500000US25015,"Hampshire County, Massachusetts",2026,9,2084.6488700019804,Projected
0500000US25015,"Hampshire County, Massachusetts",2026,10,1014.8308962365965,Projected
0500000US25015,"Hampshire County, Massachusetts",2026,11,1087.6117505507789,Projected
0500000US25015,"Hampshire County, Massachusetts",2026,12,1800.1463081217341,Projected
0500000US25015,"Hampshire County, Massachusetts",2027,9,1946.5390458986014,Projected
0500000US25015,"Hampshire County, Massachusetts",2027,10,2373.703224972966,Projected
0500000US25015,"Hampshire County, Massachusetts",2027,11,1055.9208984162299,Projected
0500000US25015,"Hampshire County, Massachusetts",2027,12,1485.1399327499657,Projected
0500000US25015,"Hampshire County, Massachusetts",2028,9,2212.096366131894,Projected
0500000US25015,"Hampshire County, Massachusetts",2028,10,2216.443295211112,Projected
0500000US25015,"Hampshire County, Massachusetts",2028,11,2469.813297153112,Projected
0500000US25015,"Hampshire County, Massachusetts",2028,12,1441.865896786251,Projected
0500000US25015,"Hampshire County, Massachusetts",2029,9,1954.0937569244704,Projected
0500000US25015,"Hampshire County, Massachusetts",2029,10,2518.822404001911,Projected
0500000US25015,"Hampshire County, Massachusetts",2029,11,2306.185990441417,Projected
0500000US25015,"Hampshire County, Massachusetts",2029,12,3372.5438808301014,Projected
0500000US25017,"Middlesex County, Massachusetts",2025,9,17418.88256779056,Projected
0500000US25017,"Middlesex County, Massachusetts",2025,10,20154.372145408503,Projected
0500000US25017,"Middlesex County, Massachusetts",2025,11,18949.375398431555,Projected
0500000US25017,"Middlesex County, Massachusetts",2025,12,20365.76892287519,Projected
0500000US25017,"Middlesex County, Massachusetts",2026,9,15659.37386159625,Projected
0500000US25017,"Middlesex County, Massachusetts",2026,10,18639.057161052286,Projected
0500000US25017,"Middlesex County, Massachusetts",2026,11,19164.630856234347,Projected
0500000US25017,"Middlesex County, Massachusetts",2026,12,21011.520694575764,Projected
0500000US25017,"Middlesex County, Massachusetts",2027,9,19805.605652888997,Projected
0500000US25017,"Middlesex County, Massachusetts",2027,10,16756.29670139068,Projected
0500000US25017,"Middlesex County, Massachusetts",2027,11,17723.72998884001,Projected
0500000US25017,"Middlesex County, Massachusetts",2027,12,21250.201094913293,Projected
0500000US25017,"Middlesex County, Massachusetts",2028,9,17352.332175222815,Projected
0500000US25017,"Middlesex County, Massachusetts",2028,10,21192.967714018116,Projected
0500000US25017,"Middlesex County, Massachusetts",2028,11,15933.42816550343,Projected
0500000US25017,"Middlesex County, Massachusetts",2028,12,19652.49574803446,Projected
0500000US25017,"Middlesex County, Massachusetts",2029,9,19052.862160858152,Projected
0500000US25017,"Middlesex County, Massachusetts",2029,10,18567.84498275479,Projected
0500000US25017,"Middlesex County, Massachusetts",2029,11,20152.223053982794,Projected
0500000US25017,"Middlesex County, Massachusetts",2029,12,17667.366263835902,Projected
0500000US25021,"Norfolk County, Massachusetts",2025,9,9074.343854506122,Projected
0500000US25021,"Norfolk County, Massachusetts",2025,10,7473.467684557021,Projected
0500000US25021,"Norfolk County, Massachusetts",2025,11,12258.69394680278,Projected
0500000US25021,"Norfolk County, Massachusetts",2025,12,9445.171195639277,Projected
0500000US25021,"Norfolk County, Massachusetts",2026,9,6046.691940380112,Projected
0500000US25021,"Norfolk County, Massachusetts",2026,10,9707.531571029216,Projected
0500000US25021,"Norfolk County, Massachusetts",2026,11,9206.607684283523,Projected
0500000US25021,"Norfolk County, Massachusetts",2026,12,10891.304953673143,Projected
0500000US25021,"Norfolk County, Massachusetts",2027,9,8159.14639738215,Projected
