GEO_ID,NAME,csr_year,starting_grade,ending_grade,enrollment_start,enrollment_end,csr,weight,weighted_csr
0500000US25003,"Berkshire County, Massachusetts",2023,8,9,535.0,1270.0,2.3738317757009346,0.15,0.3560747663551402
0500000US25003,"Berkshire County, Massachusetts",2024,8,9,1251.0,1858.0,1.4852118305355715,0.4,0.5940847322142286
0500000US25003,"Berkshire County, Massachusetts",2020,9,10,1257.0,1596.0,1.269689737470167,0.15,0.19045346062052504
0500000US25003,"Berkshire County, Massachusetts",2021,9,10,1160.5,1473.0,1.2692804825506248,0.15,0.1903920723825937
0500000US25003,"Berkshire County, Massachusetts",2022,9,10,1064.0,1292.0,1.2142857142857142,0.15,0.18214285714285713
0500000US25003,"Berkshire County, Massachusetts",2023,9,10,1323.0,1078.0,0.8148148148148148,0.15,0.1222222222222222
0500000US25003,"Berkshire County, Massachusetts",2024,9,10,1270.0,1436.0,1.1307086614173227,0.4,0.45228346456692914
0500000US25003,"Berkshire County, Massachusetts",2020,10,11,1719.0,1530.0,0.8900523560209425,0.15,0.13350785340314136
0500000US25003,"Berkshire County, Massachusetts",2021,10,11,1596.0,1675.0,1.049498746867168,0.15,0.1574248120300752
0500000US25003,"Berkshire County, Massachusetts",2022,10,11,1473.0,1291.0,0.8764426340801086,0.15,0.13146639511201627
0500000US25003,"Berkshire County, Massachusetts",2023,10,11,1292.0,1769.0,1.3691950464396285,0.15,0.20537925696594428
0500000US25003,"Berkshire County, Massachusetts",2024,10,11,1078.0,1957.0,1.8153988868274582,0.4,0.7261595547309834
0500000US25003,"Berkshire County, Massachusetts",2020,11,12,1385.0,1246.5,0.9,0.15,0.135
0500000US25003,"Berkshire County, Massachusetts",2021,11,12,1530.0,1022.0,0.6679738562091503,0.15,0.10019607843137254
0500000US25003,"Berkshire County, Massachusetts",2022,11,12,1675.0,688.0,0.41074626865671643,0.15,0.06161194029850746
0500000US25003,"Berkshire County, Massachusetts",2023,11,12,1291.0,1679.0,1.3005422153369481,0.15,0.19508133230054223
0500000US25003,"Berkshire County, Massachusetts",2024,11,12,1769.0,629.0,0.355568117580554,0.4,0.14222724703222162
0500000US25005,"Bristol County, Massachusetts",2020,4,5,5405.0,7685.0,1.421831637372803,0.15,0.21327474560592044
0500000US25005,"Bristol County, Massachusetts",2021,4,5,5581.0,8618.0,1.5441677118795916,0.15,0.23162515678193873
0500000US25005,"Bristol County, Massachusetts",2022,4,5,5757.0,5296.0,0.9199235713044989,0.15,0.13798853569567482
0500000US25005,"Bristol County, Massachusetts",2023,4,5,6063.0,5622.0,0.9272637308263236,0.15,0.13908955962394853
0500000US25005,"Bristol County, Massachusetts",2024,4,5,5951.0,8022.0,1.3480087380272223,0.4,0.539203495210889
0500000US25005,"Bristol County, Massachusetts",2020,5,6,6752.0,6226.0,0.9220971563981043,0.15,0.13831457345971565
0500000US25005,"Bristol County, Massachusetts",2021,5,6,7685.0,6574.0,0.8554326610279765,0.15,0.12831489915419647
0500000US25005,"Bristol County, Massachusetts",2022,5,6,8618.0,7197.0,0.8351125551171966,0.15,0.12526688326757948
